Original label: climbing_hold, Prediction: dasani, Confidence: 0.137
Original label: climbing_hold, Prediction: spray_bottle, Confidence: 0.157
Original label: climbing_hold, Prediction: dasani, Confidence: 0.149
Original label: climbing_hold, Prediction: dasani, Confidence: 0.179
Original label: climbing_hold, Prediction: dasani, Confidence: 0.167
Original label: climbing_hold, Prediction: wipes, Confidence: 0.171
Original label: climbing_hold, Prediction: toothbrushes, Confidence: 0.145
Original label: climbing_hold, Prediction: dasani, Confidence: 0.188
Original label: climbing_hold, Prediction: dasani, Confidence: 0.137
Original label: climbing_hold, Prediction: dasani, Confidence: 0.180
Original label: climbing_hold, Prediction: zoink, Confidence: 0.155
Original label: climbing_hold, Prediction: dasani, Confidence: 0.182
Original label: climbing_hold, Prediction: wipes, Confidence: 0.144
Original label: climbing_hold, Prediction: dasani, Confidence: 0.178
Original label: climbing_hold, Prediction: dasani, Confidence: 0.170
Original label: climbing_hold, Prediction: wipes, Confidence: 0.170
Original label: climbing_hold, Prediction: zoink, Confidence: 0.156
Original label: climbing_hold, Prediction: dasani, Confidence: 0.140
Original label: clip, Prediction: zoink, Confidence: 0.146
Original label: clip, Prediction: toothpaste, Confidence: 0.150
Original label: clip, Prediction: toothbrushes, Confidence: 0.142
Original label: clip, Prediction: dasani, Confidence: 0.146
Original label: clip, Prediction: zoink, Confidence: 0.134
Original label: clip, Prediction: dasani, Confidence: 0.146
Original label: clip, Prediction: zoink, Confidence: 0.175
Original label: clip, Prediction: toothpaste, Confidence: 0.142
Original label: clip, Prediction: toothbrushes, Confidence: 0.160
Original label: clip, Prediction: toothpaste, Confidence: 0.169
Original label: clip, Prediction: dasani, Confidence: 0.146
Original label: clip, Prediction: dasani, Confidence: 0.184
Original label: clip, Prediction: toothbrushes, Confidence: 0.147
Original label: clip, Prediction: dasani, Confidence: 0.146
Original label: clip, Prediction: dasani, Confidence: 0.151
Original label: clip, Prediction: dasani, Confidence: 0.165
Original label: clip, Prediction: dasani, Confidence: 0.145
Original label: clip, Prediction: zoink, Confidence: 0.180
Original label: clip, Prediction: wipes, Confidence: 0.132
Original label: clip, Prediction: dasani, Confidence: 0.146
Original label: dasani, Prediction: zoink, Confidence: 0.187
Original label: dasani, Prediction: toothpaste, Confidence: 0.185
Original label: dasani, Prediction: toothbrushes, Confidence: 0.211
Original label: dasani, Prediction: toothpaste, Confidence: 0.173
Original label: dasani, Prediction: zoink, Confidence: 0.201
Original label: dasani, Prediction: toothpaste, Confidence: 0.172
Original label: dasani, Prediction: toothpaste, Confidence: 0.153
Original label: dasani, Prediction: toothbrushes, Confidence: 0.211
Original label: dasani, Prediction: toothpaste, Confidence: 0.149
Original label: dasani, Prediction: zoink, Confidence: 0.158
Original label: dasani, Prediction: toothbrushes, Confidence: 0.192
Original label: dasani, Prediction: toothbrushes, Confidence: 0.185
Original label: dasani, Prediction: toothpaste, Confidence: 0.166
Original label: glue, Prediction: dasani, Confidence: 0.146
Original label: glue, Prediction: zoink, Confidence: 0.162
Original label: glue, Prediction: spray_bottle, Confidence: 0.134
Original label: glue, Prediction: dasani, Confidence: 0.145
Original label: glue, Prediction: dasani, Confidence: 0.201
Original label: glue, Prediction: zoink, Confidence: 0.150
Original label: glue, Prediction: dasani, Confidence: 0.234
Original label: glue, Prediction: zoink, Confidence: 0.199
Original label: glue, Prediction: dasani, Confidence: 0.184
Original label: glue, Prediction: zoink, Confidence: 0.155
Original label: glue, Prediction: dasani, Confidence: 0.135
Original label: glue, Prediction: dasani, Confidence: 0.181
Original label: glue, Prediction: zoink, Confidence: 0.174
Original label: glue, Prediction: toothbrushes, Confidence: 0.166
Original label: glue, Prediction: zoink, Confidence: 0.181
Original label: glue, Prediction: toothbrushes, Confidence: 0.170
Original label: glue, Prediction: toothbrushes, Confidence: 0.167
Original label: glue, Prediction: toothpaste, Confidence: 0.151
